Job Titles,AI Impact,Tasks,AI models,AI_Workload_Ratio,Domain,Key Skills to Maintain,How to Be AI-Proof,Time to Disruption,AI Impact Assessment,Possible Mismatch
Medical Transcriptionist,90.0,189,1265,0.1494071146245059,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,1-3 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Street Sweeper,90.0,3,82,0.0365853658536585,Law Enforcement,"Crisis Management, Public Safety, Communication, Tactical Response","Prioritize critical thinking, ethical judgment, and on-ground tactical responses.",1-3 years,"AI aids surveillance, threat prediction, and routine processing, but ethical and critical human roles remain crucial.",False
Supply Clerk,90.0,115,901,0.1276359600443951,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,1-3 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Warehouse Worker,90.0,68,607,0.1120263591433278,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Inventory Control",Excel in complex logistics planning and negotiation.,1-3 years,"AI streamlines logistics operations, emphasizing the importance of analytical and oversight roles.",False
Web Search Evaluator,90.0,243,1599,0.1519699812382739,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,1-3 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Development Manager,89.0,217,1558,0.1392811296534018,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Delivery Driver,88.0,20,309,0.0647249190938511,Logistics & Transportation,"Navigation, Vehicle Safety, Time Management, Customer Service","Improve your route planning, maintain high safety standards, and strengthen customer service skills to complement AI tools.",3-5 years,"AI is enhancing route efficiency and tracking, but drivers are crucial for on-ground safety, adaptability, and customer interaction.",False
Chief Security Officer,88.0,142,1116,0.1272401433691756,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
File Clerk,88.0,228,1797,0.1268781302170283,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Mail Processing,88.0,189,1336,0.1414670658682634,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Director Of Operations,87.0,198,1397,0.1417322834645669,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Direct Support Professional,86.0,117,1018,0.1149312377210216,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Chief Communications Officer,85.0,284,2118,0.1340887629839471,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",True
Administrative Clerk,85.0,270,2070,0.1304347826086956,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Executive Assistant,85.0,276,2112,0.1306818181818181,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
General Office Clerk,85.0,245,1912,0.1281380753138075,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Transcriber,85.0,205,1359,0.1508462104488594,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Sql Programmer,85.0,179,1665,0.1075075075075075,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Vba Developer,85.0,191,1672,0.1142344497607655,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Medical Scribe,85.0,202,1696,0.1191037735849056,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,3-5 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Special Agent,85.0,45,462,0.0974025974025974,Law Enforcement,"Crisis Management, Public Safety, Communication, Tactical Response","Prioritize critical thinking, ethical judgment, and on-ground tactical responses.",3-5 years,"AI aids surveillance, threat prediction, and routine processing, but ethical and critical human roles remain crucial.",False
Purchasing Clerk,85.0,180,1306,0.1378254211332312,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Bricklayer,85.0,3,30,0.1,Construction,"Project Management, Safety Compliance, Technical Proficiency, Quality Assurance",Specialize in managing complex projects and safety-critical roles.,3-5 years,"AI improves safety, planning, and operational efficiency, requiring roles to focus on management and oversight.",False
Telemarketer,85.0,179,1281,0.1397345823575331,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,3-5 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Bakery Manager,84.0,97,804,0.1206467661691542,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Banquet Manager,83.0,99,802,0.1234413965087281,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Clerk Typist,83.0,263,1986,0.1324269889224572,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Assistant,82.0,240,1600,0.15,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Business Relationship Manager,82.0,194,1467,0.1322426721199727,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Distribution Manager,80.0,198,1436,0.1378830083565459,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Inventory Control",Excel in complex logistics planning and negotiation.,3-5 years,"AI streamlines logistics operations, emphasizing the importance of analytical and oversight roles.",False
Administrative Assistant,80.0,286,2155,0.1327146171693735,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Administrative Secretary,80.0,268,2076,0.1290944123314065,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Clerical Assistant,80.0,265,2004,0.1322355289421157,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Executive Administrative Assistant,80.0,279,2124,0.1313559322033898,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Order Filler,80.0,133,1021,0.1302644466209598,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,3-5 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Records Clerk,80.0,222,1784,0.124439461883408,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Scribe,80.0,202,1623,0.1244608749229821,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Typist,80.0,208,1364,0.1524926686217008,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,3-5 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Dishwasher,80.0,3,31,0.0967741935483871,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,3-5 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Digital Project Manager,80.0,231,1922,0.1201873048907388,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Technical Project Manager,80.0,205,1521,0.1347797501643655,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Grocer,80.0,50,377,0.1326259946949602,Law Enforcement,"Crisis Management, Public Safety, Communication, Tactical Response","Prioritize critical thinking, ethical judgment, and on-ground tactical responses.",3-5 years,"AI aids surveillance, threat prediction, and routine processing, but ethical and critical human roles remain crucial.",False
Finance Officer,80.0,167,1516,0.1101583113456464,Finance & Accounting,"Financial Analysis, Strategic Planning, Risk Management, Compliance","Focus on strategic financial planning, complex risk assessment, and high-level decision-making.",3-5 years,"AI transforms routine tasks and analytics, increasing focus on complex, strategic financial decisions.",True
Word Processor,80.0,264,1707,0.1546572934973638,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Market Research Interviewer,80.0,210,1825,0.1150684931506849,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,3-5 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Pl Sql Developer,80.0,183,1686,0.1085409252669039,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Quantitative Developer,80.0,182,1667,0.1091781643671265,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Statistical Programmer,80.0,187,1669,0.1120431396045536,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Tableau Developer,80.0,188,1668,0.1127098321342925,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Data Modeler,80.0,216,1767,0.1222410865874363,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Database Analyst,80.0,218,1773,0.122955442752397,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Database Developer,80.0,205,1726,0.1187717265353418,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Etl Developer,80.0,184,1670,0.1101796407185628,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Hadoop Developer,80.0,181,1643,0.1101643335362142,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Sql Analyst,80.0,212,1761,0.1203861442362294,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Procurement Assistant,80.0,179,1316,0.1360182370820668,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Receiving Associate,80.0,92,733,0.1255115961800818,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Warehouse Associate,80.0,78,664,0.1174698795180722,Supply Chain & Logistics,"Logistics Management, Negotiation, Analytical Thinking, Inventory Control",Excel in complex logistics planning and negotiation.,3-5 years,"AI streamlines logistics operations, emphasizing the importance of analytical and oversight roles.",False
Press Operator,80.0,84,1077,0.0779944289693593,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Pressman,80.0,83,1068,0.0777153558052434,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Printing Press Operator,80.0,93,1065,0.0873239436619718,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",3-5 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Automation Test Engineer,80.0,159,1547,0.1027795733678086,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Automation Tester,80.0,158,1541,0.1025308241401687,Construction,"Project Management, Safety Compliance, Technical Proficiency, Quality Assurance",Specialize in managing complex projects and safety-critical roles.,3-5 years,"AI improves safety, planning, and operational efficiency, requiring roles to focus on management and oversight.",False
QA Automation Engineer,80.0,155,1525,0.101639344262295,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",3-5 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Tax Preparer,80.0,153,1263,0.1211401425178147,Finance & Accounting,"Financial Analysis, Strategic Planning, Risk Management, Compliance","Focus on strategic financial planning, complex risk assessment, and high-level decision-making.",3-5 years,"AI transforms routine tasks and analytics, increasing focus on complex, strategic financial decisions.",False
Associate,79.0,175,1298,0.1348228043143297,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",5-7 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Chief Learning Officer,79.0,162,1250,0.1296,Law Enforcement,"Crisis Management, Public Safety, Communication, Tactical Response","Prioritize critical thinking, ethical judgment, and on-ground tactical responses.",5-7 years,"AI aids surveillance, threat prediction, and routine processing, but ethical and critical human roles remain crucial.",True
Web Project Manager,78.0,217,1845,0.1176151761517615,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",5-7 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Medical Coding Specialist,78.0,171,1250,0.1368,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,5-7 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Front Desk,77.0,215,1779,0.1208544125913434,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,5-7 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Credit Manager,76.0,151,1094,0.1380255941499086,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Advertising Manager,75.0,195,1370,0.1423357664233576,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,5-7 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Caller,75.0,131,1085,0.12073732718894,Construction,"Project Management, Safety Compliance, Technical Proficiency, Quality Assurance",Specialize in managing complex projects and safety-critical roles.,5-7 years,"AI improves safety, planning, and operational efficiency, requiring roles to focus on management and oversight.",False
Phone Sales,75.0,11,54,0.2037037037037037,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,5-7 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
Telesales Representative,75.0,145,1049,0.1382268827454718,Communication & PR,"Storytelling, Crisis Management, Public Speaking, Brand Strategy","Emphasize creativity, cultural insight, and strategic communication.",5-7 years,"AI aids in content creation and media management, enhancing creativity and strategic communication.",False
Accounting Clerk,75.0,145,1299,0.1116243264049268,Finance & Accounting,"Financial Analysis, Strategic Planning, Risk Management, Compliance","Focus on strategic financial planning, complex risk assessment, and high-level decision-making.",5-7 years,"AI transforms routine tasks and analytics, increasing focus on complex, strategic financial decisions.",False
Administrative Associate,75.0,281,2139,0.131369798971482,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Administrative Coordinator,75.0,281,2128,0.1320488721804511,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Corporate Receptionist,75.0,15,58,0.2586206896551724,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Desk Receptionist,75.0,14,56,0.25,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Executive Secretary,75.0,159,1176,0.135204081632653,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Front Desk Clerk,75.0,223,1801,0.1238200999444752,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Front Desk Receptionist,75.0,225,1803,0.124792013311148,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Front Office Receptionist,75.0,226,1812,0.1247240618101545,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Mail Sorter,75.0,136,1219,0.1115668580803937,Hospitality,"Customer Service, Conflict Resolution, Time Management, Cultural Awareness",Focus on personalized guest experiences and exceptional interpersonal skills.,5-7 years,"AI enhances service delivery and customer interactions, highlighting the importance of personalized human service.",False
Order Clerk,75.0,151,1336,0.1130239520958083,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Medical Coder,75.0,109,773,0.1410090556274256,Medical & Healthcare,"Clinical Expertise, Patient Care, Medical Ethics",Deepen clinical expertise and specialize in patient care aspects less replicable by AI.,5-7 years,AI supports roles significantly but critical human oversight and expertise remain essential.,False
Purchasing Assistant,75.0,163,1417,0.1150317572335921,Administrative & Clerical,"Attention to Detail, Time Management, Organizational Skills, Digital Literacy",Strengthen digital skills and administrative oversight.,5-7 years,"Highly susceptible to AI-driven automation, making digital literacy and adaptability essential.",False
Supply Technician,75.0,121,979,0.1235955056179775,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Android Developer,75.0,147,1393,0.1055276381909547,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Ios Developer,75.0,148,1394,0.1061692969870875,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Chief Of Staff,75.0,180,1405,0.1281138790035587,Leadership & Strategy,"Strategic Thinking, Decision Making, Emotional Intelligence, Change Management",Develop visionary strategic planning and leadership skills.,5-7 years,"AI complements strategic decision-making and planning, enhancing the necessity of visionary leadership.",False
Intelligence Analyst,75.0,169,1185,0.1426160337552742,Data & IT,"Programming, Problem Solving, Cybersecurity, Systems Design","Master advanced technical skills, cybersecurity, and problem-solving to handle AI integration.",5-7 years,"AI reshapes roles through automation and efficiency, demanding continual skill enhancement.",False
Photo Retoucher,75.0,193,1464,0.1318306010928961,Sales & Marketing,"Customer Engagement, Persuasive Communication, Creative Strategy, Data Interpretation",Enhance customer relationship management and strategic creative marketing.,5-7 years,"AI provides deep customer insights and efficiency in routine processes, enhancing strategic customer engagement.",False
